2744	D	45329
4848	W	25942
2157	W	28561
2519	W	49739
5581	W	18872
2744	W	23075
3936	W	39572
3442	D	29713
4848	D	45647
2157	D	47247
4603	W	2100
5441	D	4272
3151	D	1163
5110	D	17084
3442	D	7684
5441	W	26195
4603	D	38319
5581	W	36229
2953	W	16262
2744	D	31605
3936	D	49543
3559	D	2501
4149	W	47488
1672	W	14206
5236	D	23373
2519	D	12472
4848	D	43723
3442	D	22243
4603	D	7863
5236	W	12097
5236	W	6305
4848	W	2370
2157	W	47431
5581	W	19739
3151	D	35567
4149	W	40662
2519	D	11466
3936	W	44521
5581	D	40991
2744	D	11357
5110	D	14461
3442	W	17370
3936	W	32960
2157	W	16667
1324	W	22320
5581	W	38369
1324	D	43678
2744	W	25029
5931	W	39120
4149	W	22151
4149	W	26067
5441	D	11599
2953	W	25692
5581	W	48025
3442	W	37766
4149	W	40525
2953	D	40171
2157	D	14311
1903	W	24778
5441	D	12631
2157	W	32989
4149	W	43028
3151	W	5817
5236	D	9611
4603	W	27701
2744	D	15519
2519	W	34008
4149	D	33560
1903	D	27599
2744	W	38985
3442	W	24283
4603	W	14856
1324	D	2123
2519	D	24022
5236	W	30634
3151	W	38825
1903	D	2862
5931	D	6290
3442	D	24220
2157	D	7473
3442	D	12189
4848	D	43322
5931	W	2352
5581	W	3691
2157	W	8500
4603	W	44150
5441	W	28422
4411	D	13889
4848	D	49506
5441	W	12003
5236	D	23002
5441	W	43790
3151	D	36138
5110	D	45701
5931	W	12637
2744	W	15378
5931	W	8266
4848	D	42624
1324	W	8149
3936	W	20477
